Time_s,Speed_kmh,GPS_Lat,GPS_Lon,GPS_Alt,Lidar_Points,Min_Distance_m
0.6,28.28,-0.00012211367162251463,0.0009861213676163442,0.002230758545920253,906,4.86
1.1,29.59,-8.445606869145195e-05,0.00098637316894339,0.0018935775151476264,444,5.01
1.6,29.31,-4.4213796897452085e-05,0.0009866504656688192,0.0021665191743522882,787,5.0
2.2,27.66,-8.970341966119122e-06,0.0009868861610318326,0.0020210265647619963,858,4.86
2.7,30.13,3.438430348978727e-05,0.0009871897755878514,0.002103347796946764,645,5.0
3.2,26.87,6.883950321423526e-05,0.0009873953836393313,0.002115974435582757,621,5.0
3.7,31.61,0.00010860782701627159,0.0009875634339534076,0.0019110869616270065,616,4.87
4.2,25.96,0.00014474798257424482,0.0009876165493667066,0.0022217559162527323,792,4.87
4.7,32.77,0.00018333576490192627,0.0009878394970305282,0.0017731856787577271,836,4.85
5.2,26.04,0.00021878977213418693,0.0009866956309041277,0.002295112470164895,838,4.96
5.7,32.25,0.0002544406662110532,0.000983249160209203,0.0017518233507871628,573,4.99
6.3,26.84,0.00029323292572769333,0.0009764613530696768,0.0022863768972456455,557,5.01
6.8,31.97,0.00032800991705528304,0.0009669345040043513,0.0017896270146593451,633,5.01
7.3,26.78,0.00036386559673928787,0.0009538295950911539,0.0022224807180464268,628,4.99
7.8,31.11,0.0003975293917903855,0.0009376991637004283,0.0019196319626644254,615,4.99
8.3,27.53,0.0004284602103581392,0.0009190459900540603,0.0021129606757313013,586,4.99
8.8,29.66,0.0004601898161809004,0.0008957371647620138,0.00208080280572176,537,5.0
9.3,28.64,0.0004866959494904677,0.0008724678847518685,0.0019988631829619408,601,5.0
9.9,28.71,0.0005133211641208391,0.0008438565648841872,0.0021676253527402878,601,5.01
10.4,29.48,0.0005349284799649467,0.000815724585920523,0.001928787212818861,745,5.01
10.9,28.15,0.0005555735501587833,0.0007828571793872059,0.0022052002605050802,715,5.0
11.4,30.16,0.0005713857345597262,0.0007520890995955167,0.0018928908975794911,515,5.0
11.9,27.62,0.0005866417148894243,0.0007135373843349665,0.0022481917403638363,853,4.99
12.4,30.9,0.0005958915413799559,0.0006816340054190219,0.0018461608560755849,834,4.99
12.9,26.93,0.0006029017479107779,0.0006437100800756573,0.0022662354167550802,963,4.98
13.4,31.63,0.000606158510890964,0.000606947566079086,0.0017908095614984632,679,5.0
13.9,26.43,0.0006084097819893941,0.0005679958403543815,0.0022658156231045723,825,5.01
14.5,32.19,0.0006091748495578031,0.0005341907240342813,0.001781463623046875,777,5.0
15.0,26.7,0.0006096951064478162,0.0004940496928037994,0.002294845413416624,783,5.0
15.5,31.3,0.0006099023593719721,0.0004588100833765319,0.0018039703136309981,632,4.99
16.0,27.25,0.0006099913876482788,0.000420216081393394,0.0022659683600068092,692,4.89
16.5,31.24,0.0006100347024187158,0.000385187905579065,0.001810378977097571,707,2.88
17.0,27.24,0.0006100523161762794,0.00034529894981969757,0.0022730636410415173,667,2.91
17.5,30.78,0.0006100447086794247,0.00030877432433868866,0.0018130873795598745,783,4.64
18.1,27.11,0.0006100343597381652,0.000270481778027029,0.0022688673343509436,696,5.0
18.6,31.72,0.0006100251759022512,0.00023430147749623194,0.001796302734874189,617,5.01
19.1,26.74,0.0006100151011310118,0.00019532295418881788,0.0022670363541692495,675,3.94
19.6,31.86,0.0006100043409702494,0.00016029786249526114,0.0017776107415556908,785,3.01
