frame,time_seconds,target_speed_kmh,speed_kmh,speed_error_kmh,pid_command,throttle,brake,steer,location_x,location_y,location_z
43054,0.05,20.0,3.5280002832412722,16.471999716758727,1.0,0.75,0.0,0.0,-24.33677864074707,-57.78562545776367,0.8460996747016907
43055,0.1,20.0,5.2920005321502686,14.707999467849731,1.0,0.75,0.0,0.0,-24.33677864074707,-57.78562545776367,0.782399594783783
43056,0.15,20.0,7.056000995635986,12.943999004364013,1.0,0.75,0.0,0.0,-24.33677864074707,-57.78562545776367,0.6941996812820435
43057,0.2,20.0,8.820001029968262,11.179998970031738,1.0,0.75,0.0,0.0,-24.33677864074707,-57.78562545776367,0.5814997553825378
43058,0.25,20.0,10.583999347686769,9.416000652313231,1.0,0.75,0.0,0.0,-24.33677864074707,-57.78562545776367,0.444299578666687
43059,0.3,20.0,12.347997665405273,7.652002334594727,0.7335583973467346,0.5501687980100509,0.0,0.0,-24.33677864074707,-57.78562545776367,0.2825995087623596
43060,0.35,20.0,14.111995124816895,5.888004875183105,0.4617598377257587,0.346319878294319,0.0,0.0,-24.33677864074707,-57.78562545776367,0.09639957547187805
43061,0.4,20.0,6.628083086028108,13.37191691397189,0.19459198634773478,0.14594398976080108,0.0,0.0,-24.33677864074707,-57.78562545776367,-0.042574767023324966
43062,0.45,20.0,0.36200422491774253,19.637995775082256,1.0,0.75,0.0,0.0,-24.336591720581055,-57.78561019897461,-0.07213855534791946
43063,0.5,20.0,0.8494942312857692,19.150505768714233,1.0,0.75,0.0,0.0,-24.336183547973633,-57.785648345947266,-0.06277935206890106
43064,0.55,20.0,0.9258496979981647,19.074150302001836,1.0,0.75,0.0,0.0,-24.336172103881836,-57.78567886352539,-0.05006092041730881
43065,0.6,20.0,0.8276586615729793,19.17234133842702,1.0,0.75,0.0,0.0,-24.336267471313477,-57.78569030761719,-0.03782302886247635
43066,0.65,20.0,0.6742414210686573,19.325758578931342,1.0,0.75,0.0,0.0,-24.336349487304688,-57.78568649291992,-0.02748538926243782
43067,0.7,20.0,3.3266302526724516,16.67336974732755,1.0,0.75,0.0,0.0,-24.307575225830078,-57.78538131713867,-0.019503287971019745
43068,0.75,20.0,5.706214183531887,14.293785816468112,1.0,0.75,0.0,0.0,-24.241432189941406,-57.78468704223633,-0.0135442353785038
43069,0.8,20.0,7.376007412470687,12.623992587529312,1.0,0.75,0.0,0.0,-24.147945404052734,-57.78374481201172,-0.009153937920928001
43070,0.85,20.0,8.789896234671122,11.210103765328878,1.0,0.75,0.0,0.0,-24.033178329467773,-57.78247833251953,-0.005968398880213499
43071,0.9,20.0,9.877112442613486,10.122887557386514,1.0,0.75,0.0,0.0,-23.90207290649414,-57.78114318847656,-0.003683013841509819
43072,0.95,20.0,10.916787388783574,9.083212611216426,0.9992779907671557,0.7494584930753668,0.0,0.0,-23.756237030029297,-57.77958297729492,-0.002069015521556139
43073,1.0,20.0,11.826370088242737,8.173629911757263,0.9052499392991665,0.6789374544743749,0.0,0.0,-23.59661102294922,-57.77749252319336,0.0008116912795230746
43074,1.05,20.0,12.639811508457065,7.360188491542935,0.8276085907543139,0.6207064430657354,0.0,0.0,-23.425893783569336,-57.777400970458984,0.0017805099487304688
43075,1.1,20.0,13.407472186859076,6.592527813140924,0.7558553485259742,0.5668915113944807,0.0,0.0,-23.244230270385742,-57.77543258666992,0.0012281798990443349
43076,1.15,20.0,14.050625541237128,5.949374458762872,0.6764500973137257,0.5073375729852942,0.0,0.0,-23.05272102355957,-57.77311325073242,0.0010238647228106856
43077,1.2,20.0,14.58995350819743,5.41004649180257,0.6240770395119326,0.46805777963394946,0.0,0.0,-22.85307502746582,-57.770896911621094,0.001015739399008453
43078,1.25,20.0,15.046411269155303,4.953588730844697,0.587210574260105,0.4404079306950788,0.0,0.0,-22.646615982055664,-57.7686653137207,0.001099662738852203
43079,1.3,20.0,15.437481775065233,4.562518224934767,0.5584565989554906,0.41884244921661795,0.0,0.0,-22.434371948242188,-57.76642608642578,0.0012155914446339011
43080,1.35,20.0,15.776287042402181,4.223712957597819,0.533773680427879,0.40033026032090924,0.0,0.0,-22.21713638305664,-57.76412582397461,0.0013318633427843451
43081,1.4,20.0,16.071952125793302,3.9280478742066975,0.5113659936439375,0.3835244952329532,0.0,0.0,-21.99555778503418,-57.76179122924805,0.0014352034777402878
43082,1.45,20.0,16.330815741844077,3.669184258155923,0.49075891528043886,0.36806918646032916,0.0,0.0,-21.770183563232422,-57.75941467285156,0.001521377475000918
43083,1.5,20.0,16.55757487774488,3.44242512225512,0.4720135885740031,0.35401019143050233,0.0,0.0,-21.541481018066406,-57.75700378417969,0.0015906523913145065
43084,1.55,20.0,16.756035973806828,3.243964026193172,0.45526663856605576,0.3414499789245418,0.0,0.0,-21.309865951538086,-57.75456237792969,0.0016453933203592896
43085,1.6,20.0,16.92952719830931,3.0704728016906913,0.4405519180456541,0.33041393853424056,0.0,0.0,-21.07570457458496,-57.752098083496094,0.0016887664096429944
43086,1.65,20.0,17.081063418993136,2.9189365810068644,0.42777367602091754,0.3208302570156881,0.0,0.0,-20.839319229125977,-57.749603271484375,0.0017223358154296875
43087,1.7,20.0,17.181159515470668,2.818840484529332,0.41674881459747287,0.31256161094810464,0.0,0.0,-20.60173225402832,-57.74666976928711,0.003275108290836215
43088,1.75,20.0,17.234472145906814,2.765527854093186,0.4185548969036796,0.3139161726777597,0.0,0.0,-20.36275863647461,-57.74539566040039,0.0033121109008789062
43089,1.8,20.0,17.35092336963278,2.649076630367219,0.42900299774136746,0.3217522483060256,0.0,0.0,-20.122173309326172,-57.74281311035156,0.0023820495698601007
43090,1.85,20.0,17.46128796010867,2.5387120398913297,0.40876324957772336,0.3065724371832925,0.0,0.0,-19.880189895629883,-57.73995590209961,0.0019640731625258923
43091,1.9,20.0,17.557807193020306,2.442192806979694,0.3926469422163349,0.2944852066622512,0.0,0.0,-19.63684844970703,-57.73712921142578,0.0017903136322274804
43092,1.95,20.0,17.638951933347798,2.3610480666522022,0.3817437377909548,0.2863078033432161,0.0,0.0,-19.392316818237305,-57.73433303833008,0.0017319869948551059
43093,2.0,20.0,17.706607266127943,2.293392733872057,0.3750042413459236,0.2812531810094427,0.0,0.0,-19.146780014038086,-57.73154830932617,0.0017258452717214823
43094,2.05,20.0,17.763598552749112,2.2364014472508877,0.3708263645906904,0.2781197734430178,0.0,0.0,-18.90039825439453,-57.728759765625,0.0017412566812708974
43095,2.1,20.0,17.81253884847784,2.187461151522161,0.3679405449503618,0.27595540871277136,0.0,0.0,-18.653291702270508,-57.72594451904297,0.001763153006322682
43096,2.15,20.0,17.855368167115863,2.144631832884137,0.3655757656599131,0.27418182424493487,0.0,0.0,-18.40555763244629,-57.72313690185547,0.0017849730793386698
43097,2.2,20.0,17.893376980867373,2.106623019132627,0.36338714644534187,0.2725403598340064,0.0,0.0,-18.157268524169922,-57.7203254699707,0.0018039703136309981
43098,2.25,20.0,17.92737717610158,2.0726228238984206,0.36128496820182954,0.27096372615137215,0.0,0.0,-17.908485412597656,-57.71750259399414,0.0018194579752162099
43099,2.3,20.0,17.95789919803712,2.0421008019628815,0.35929589018693237,0.2694719176401993,0.0,0.0,-17.65925407409668,-57.71467208862305,0.0018317413050681353
43100,2.35,20.0,17.985324164001927,2.014675835998073,0.3574715918864588,0.26810369391484407,0.0,0.0,-17.40962791442871,-57.71183395385742,0.0018412017961964011
43101,2.4,20.0,18.009908374711603,1.9900916252883967,0.35585107339832056,0.2668883050487404,0.0,0.0,-17.159645080566406,-57.70900344848633,0.0019778823480010033
43102,2.45,20.0,18.036012139026496,1.9639878609735035,0.35446958289983177,0.2658521871748738,0.0,0.0,-16.909330368041992,-57.70616912841797,0.002142753452062607
43103,2.5,20.0,18.00054558807448,1.9994544119255195,0.3518876491097004,0.2639157368322753,0.0,0.0,-16.659299850463867,-57.70333480834961,0.002071914728730917
43104,2.55,20.0,17.984669550005197,2.015330449994803,0.3706972404751553,0.2780229303563665,0.0,0.0,-16.409563064575195,-57.70048522949219,0.0020275877323001623
43105,2.6,20.0,17.988118489831965,2.0118815101680347,0.37641314959234357,0.2823098621942577,0.0,0.0,-16.15971565246582,-57.697566986083984,0.002022437984123826
43106,2.65,20.0,17.996812433935435,2.0031875660645646,0.37420017288510127,0.28065012966382596,0.0,0.0,-15.909740447998047,-57.694618225097656,0.002013091929256916
43107,2.7,20.0,18.041063480941315,1.9589365190586854,0.371497885953117,0.27862341446483774,0.0,0.0,-15.659435272216797,-57.69196319580078,0.0020135496743023396
43108,2.75,20.0,18.019222832859448,1.9807771671405519,0.3575283820315347,0.268146286523651,0.0,0.0,-15.409683227539062,-57.68937301635742,0.001933517400175333
43109,2.8,20.0,17.908935013246197,2.0910649867538034,0.3708575492798192,0.2781431619598644,0.0,0.0,-15.160139083862305,-57.68678665161133,0.0020037840586155653
43110,2.85,20.0,18.069785534714377,1.9302144652856228,0.410667029747678,0.3080002723107585,0.0,0.0,-14.910003662109375,-57.68407440185547,0.001973381033167243
43111,2.9,20.0,17.959580967020617,2.0404190329793828,0.3443872780600543,0.25829045854504074,0.0,0.0,-14.660555839538574,-57.68134307861328,0.0019640731625258923
43112,2.95,20.0,18.093426308431187,1.9065736915688127,0.39459055021297634,0.29594291265973227,0.0,0.0,-14.409865379333496,-57.67842102050781,0.0020007705315947533
43113,3.0,20.0,18.053623979725725,1.9463760202742755,0.34298324276749353,0.25723743207562016,0.0,0.0,-14.159894943237305,-57.67543411254883,0.001990356482565403
43114,3.05,20.0,18.019263250103382,1.980736749896618,0.3684144175668157,0.27631081317511175,0.0,0.0,-13.909869194030762,-57.67246627807617,0.0019635390490293503
43115,3.1,20.0,18.00837465683794,1.9916253431620596,0.3827143943101742,0.2870357957326306,0.0,0.0,-13.659664154052734,-57.66963577270508,0.0020038604270666838
43116,3.15,20.0,17.88022506959791,2.119774930402091,0.38472681816272075,0.28854511362204055,0.0,0.0,-13.409317016601562,-57.66668701171875,0.002043571323156357
43117,3.2,20.0,17.913739705081788,2.086260294918212,0.428153003604419,0.32111475270331424,0.0,0.0,-13.159098625183105,-57.663753509521484,0.0020639419090002775
43118,3.25,20.0,18.043878555386673,1.956121444613327,0.40340802382976043,0.30255601787232034,0.0,0.0,-12.908914566040039,-57.66093063354492,0.0020029067527502775
